Name,zPR,ADP,
Craig Kimbrel,13.590,45.2,
Kenley Jansen,12.627,36.4,
Aroldis Chapman,11.766,63.2,
Andrew Miller,10.660,204.4,
Corey Knebel,10.017,67.3,
Ken Giles,9.223,93.2,
Sean Doolittle,8.836,119.6,
Anthony Rizzo,8.76,25.7,8.76
Brad Hand,8.759,104.2,
Edwin Diaz,8.589,88.8,
Dellin Betances,8.254,280.8,
Roberto Osuna,8.126,76.2,
Felipe Rivero,8.107,86.2,
Corey Kluber,8.099,13.4,
Mike Trout,7.79,1.1,7.79
Chris Sale,7.644,12,
David Robertson,7.113,306.5,
Chad Green,7.100,303.7,
Cody Allen,7.061,89.7,
Giancarlo Stanton,7.03,8.1,7.03
Starling Marte,6.58,47.7,6.58
Wade Davis,6.563,110.6,
Clayton Kershaw,6.387,7.4,
Chris Archer,6.377,54.3,
Stephen Strasburg,6.193,25.2,
Blake Parker,6.132,237.1,
Yu Darvish,6.131,47.6,
Kris Bryant,6.02,15.5,6.02
Luis Severino,5.805,31.9,
,5.784,294.9,
Raisel Iglesias,5.600,97.7,
Max Scherzer,5.580,10,
Jacob deGrom,5.577,34.5,
A.J. Minter,5.463,365.7,
Archie Bradley,5.398,186.3,
Kirby Yates,5.385,458.6,
Derek Dietrich,5.37,458.6,5.37
Carl Edwards Jr.,5.340,339.3,
Brandon Morrow,5.290,158.8,
Charlie Blackmon,5.17,8.4,5.17
Robbie Ray,5.125,47.1,
Josh Hader,5.121,302.1,
Jose Quintana,5.091,67.6,
Justin Verlander,5.077,40,
Noah Syndergaard,5.020,28.4,
Ryan Madson,4.910,394.9,
Rougned Odor,4.89,104.5,4.89
Tommy Kahnle,4.883,454.8,
James Paxton,4.775,74.2,
Arodys Vizcaino,4.677,149.9,
Jose Altuve,4.64,2.2,4.64
Wilmer Font,4.618,647.3,
Trea Turner,4.58,4.5,4.58
Mark Melancon,4.513,179.8,
Freddie Freeman,4.46,21.1,4.46
Darren O'Day,4.459,537.5,
Carlos Gomez,4.44,308.7,4.44
Anthony Swarzak,4.420,480.9,
Paul Goldschmidt,4.38,7.6,4.38
Keone Kela,4.340,332.1,
Joey Gallo,4.31,102.8,4.31
George Springer,4.23,31.4,4.23
Drew Steckenrider,4.213,358.8,
Jose Abreu,4.15,41,4.15
Luke Gregerson,4.137,300.2,
Jeurys Familia,4.125,169.1,
Rich Hill,4.120,127.5,
Aaron Judge,4.05,19.9,4.05
Nolan Arenado,4.03,4.5,4.03
Brian Dozier,4.01,37.2,4.01
Cam Bedrosian,3.990,293.9,
Hector Neris,3.936,140.3,
Cody Bellinger,3.91,26.8,3.91
Mychal Givens,3.910,379.6,
Hector Rondon,3.866,601.1,
Pedro Strop,3.840,594.4,
Zack Greinke,3.811,49,
Brad Brach,3.724,206.4,
Rhys Hoskins,3.66,48.8,3.66
Nate Jones,3.659,330,
Khris Davis,3.65,67.8,3.65
Dominic Leone,3.621,343.7,
Aaron Nola,3.615,60.6,
Michael Feliz,3.571,648.2,
A.J. Pollock,3.48,68.2,3.48
Nelson Cruz,3.47,59.5,3.47
Tyler Lyons,3.461,416.5,
Alex Colome,3.451,128.2,
Justin Wilson,3.404,602.5,
David Price,3.361,102.6,
Pat Neshek,3.310,490.3,
Mookie Betts,3.30,7.8,3.30
Jon Lester,3.290,116.3,
J.D. Martinez,3.27,22.8,3.27
Trevor Story,3.27,113,3.27
Jonathan Schoop,3.27,64.2,3.27
Josh Donaldson,3.24,32.3,3.24
Bradley Zimmer,3.23,191.9,3.23
Carlos Martinez,3.224,52.4,
Jerry Blevins,3.205,675.5,
Kyle Barraclough,3.191,331.5,
Madison Bumgarner,3.144,45,
Byron Buxton,3.13,48.9,3.13
Joakim Soria,3.084,322.9,
Masahiro Tanaka,3.074,97,
Kelvin Herrera,3.031,192,
Carlos Carrasco,2.968,35.3,
Randal Grichuk,2.96,279.4,2.96
Tommy Pham,2.85,57.7,2.85
Jake Arrieta,2.842,103.2,
Justin Upton,2.81,49.3,2.81
Brad Peacock,2.810,266.8,
Bryce Harper,2.79,8.8,2.79
Will Harris,2.790,548.2,
Michael Conforto,2.78,192,2.78
Lance McCullers Jr.,2.747,134.3,
Brad Boxberger,2.744,302,
Jeff Samardzija,2.733,154.3,
Manny Machado,2.67,17.3,2.67
Liam Hendriks,2.622,669,
Tommy Hunter,2.590,571,
Javier Baez,2.56,104.9,2.56
Alex Bregman,2.54,32.4,2.54
Wil Myers,2.52,64.1,2.52
Shin-Soo Choo,2.50,258.9,2.50
Jose Ramirez,2.49,20.4,2.49
Brett Cecil,2.478,635.3,
Shane Greene,2.476,220.3,
Jackie Bradley Jr.,2.46,288.4,2.46
Edwin Encarnacion,2.46,57.6,2.46
Dallas Keuchel,2.442,75,
Ronald Acuna,2.43,100.7,2.43
Matt Chapman,2.43,281.9,2.43
Matt Olson,2.42,121.8,2.42
Carlos Correa,2.41,14.8,2.41
Blake Treinen,2.404,170.7,
Scott Schebler,2.39,284.3,2.39
Greg Holland,2.383,196.4,
Walker Buehler,2.383,340,
Kevin Kiermaier,2.37,156.4,2.37
Francisco Lindor,2.36,20.7,2.36
Steve Cishek,2.315,505.6,
Kyle Seager,2.29,141.2,2.29
Josh Harrison,2.20,269,2.20
Jameson Taillon,2.190,180.6,
Juan Nicasio,2.188,437.1,
AJ Ramos,2.152,354.8,
Mitch Haniger,2.15,219.1,2.15
Shohei Ohtani,2.144,94.8,
David Hernandez,2.131,665.6,
Ryan Braun,2.11,121.2,2.11
Todd Frazier,2.10,286.2,2.10
Yoenis Cespedes,2.10,95,2.10
C.J. Cron,2.08,351.5,2.08
Josh Fields,2.050,662.7,
Joey Votto,2.04,19.2,2.04
Jake Lamb,2.01,138.4,2.01
Anthony Rendon,2.00,55.7,2.00
Tony Watson,1.988,546.6,
Blake Snell,1.970,196.2,
Lucas Duda,1.96,385.8,1.96
Alex Gordon,1.95,527.3,1.95
Paul DeJong,1.95,151.7,1.95
Gerrit Cole,1.944,76.8,
Eugenio Suarez,1.91,186.5,1.91
Yasiel Puig,1.90,109.5,1.90
Yusmeiro Petit,1.896,476.2,
Zach McAllister,1.861,683.5,
Kolten Wong,1.84,357.9,1.84
Adam Jones,1.83,148.6,1.83
Miguel Sano,1.80,112.1,1.80
Billy Hamilton,1.80,71.3,1.80
Luis Castillo,1.795,92,
Dee Gordon,1.79,28.7,1.79
Johnny Cueto,1.784,152.6,
Joe Kelly,1.770,650.8,
Chris Davis,1.76,251.8,1.76
Addison Reed,1.742,274.9,
Logan Morrison,1.72,272.3,1.72
Ian Happ,1.70,119.5,1.70
Mike Moustakas,1.70,135.3,1.70
Danny Salazar,1.673,214.7,
Andrew McCutchen,1.63,93,1.63
Alex Wood,1.624,114.5,
Matt Bush,1.623,454.1,
Nicholas Castellanos,1.62,94.8,1.62
Andrew Benintendi,1.61,40.8,1.61
Fernando Rodney,1.609,220.4,
Jean Segura,1.59,74.4,1.59
Gary Sanchez,1.59,19.1,1.59
Enny Romero,1.577,714,
Lewis Brinson,1.56,275.1,1.56
Chaz Roe,1.559,703.8,
Bryan Shaw,1.557,602.1,
Travis Shaw,1.55,88.4,1.55
Jon Gray,1.531,162.4,
Ryan Tepera,1.505,615,
Trevor Bauer,1.497,131.1,
Trevor Hildenberger,1.495,466.8,
Robinson Chirinos,1.49,253.1,1.49
Christian Yelich,1.47,44.7,1.47
Adam Duvall,1.46,179.9,1.46
Lorenzo Cain,1.42,81.9,1.42
Adam Eaton,1.42,154,1.42
Justin Smoak,1.39,158.2,1.39
Scott Alexander,1.367,655.4,
Kyle Hendricks,1.358,112.4,
Kevin Pillar,1.35,323.2,1.35
Ozzie Albies,1.32,110.9,1.32
Jake McGee,1.302,539.3,
Marcus Stroman,1.287,150.8,
Corey Seager,1.28,43.5,1.28
Yoan Moncada,1.27,132.2,1.27
Delino DeShields,1.25,172.2,1.25
Evan Gattis,1.24,141.3,1.24
Whit Merrifield,1.24,69,1.24
Mike Zunino,1.20,156.5,1.20
Carlos Santana,1.20,173.1,1.20
Eric Thames,1.17,221.9,1.17
Domingo Santana,1.16,101.1,1.16
Addison Russell,1.14,264.2,1.14
Hunter Strickland,1.129,596,
Ian Kinsler,1.12,183.6,1.12
Seung Hwan Oh,1.108,489.5,
Justin Turner,1.09,110.2,1.09
Aaron Altherr,1.08,286.5,1.08
Charlie Morton,1.083,168,
James Pazos,1.073,665.9,
Sergio Romo,1.070,657,
Phil Maton,1.070,654.4,
Ian Desmond,0.99,117.9,0.99
Odubel Herrera,0.99,213.2,0.99
Drew Pomeranz,0.985,207.1,
Luiz Gohara,0.980,297.7,
Joe Musgrove,0.919,332.1,
Zach Britton,0.915,299.7,
Didi Gregorius,0.91,120.4,0.91
Yulieski Gurriel,0.90,253.8,0.90
Kyle Schwarber,0.86,162.5,0.86
Kenta Maeda,0.862,193.3,
Matt Carpenter,0.86,187,0.86
Elvis Andrus,0.84,60.3,0.84
Michael Wacha,0.826,220.4,
Sonny Gray,0.817,139.6,
Garrett Richards,0.809,162,
Juan Minaya,0.802,367.6,
Nick Vincent,0.797,685.9,
Jonathan Villar,0.79,174.4,0.79
J.A. Happ,0.787,249,
Dexter Fowler,0.77,243.4,0.77
Avisail Garcia,0.76,197.7,0.76
Matt Barnes,0.761,627.8,
Mikie Mahtook,0.76,344.8,0.76
Jake Faria,0.688,232.8,
Marcell Ozuna,0.68,47.2,0.68
Jacob Barnes,0.679,622.6,
Carson Smith,0.675,583.3,
Nomar Mazara,0.66,152.9,0.66
Chris Taylor,0.64,94.4,0.64
Danny Duffy,0.614,196.5,
Trey Mancini,0.61,151.9,0.61
Jose Berrios,0.582,103.4,
Adrian Beltre,0.58,157.2,0.58
Eddie Rosario,0.57,125,0.57
Daniel Murphy,0.57,91.5,0.57
Evan Longoria,0.52,206.2,0.52
Miguel Cabrera,0.49,95.7,0.49
Matt Albers,0.481,625,
Luke Weaver,0.464,108,
Jake Diekman,0.463,586,
Eduardo Rodriguez,0.462,312.9,
Kole Calhoun,0.44,279.5,0.44
Mike Minor,0.438,320.5,
Stephen Piscotty,0.43,286.4,0.43
Alex Claudio,0.427,296.1,
Zack Godley,0.392,117.2,
Dinelson Lamet,0.388,213.1,
Robinson Cano,0.39,88.7,0.39
Xander Bogaerts,0.36,79.2,0.36
Adam Engel,0.36,572.5,0.36
Willson Contreras,0.34,50.6,0.34
Brandon Belt,0.34,297.3,0.34
Kendrys Morales,0.33,310,0.33
Tim Beckham,0.31,259.5,0.31
Michael A. Taylor,0.31,222.8,0.31
Pedro Baez,0.287,642.6,
Steven Souza Jr.,0.26,206.6,0.26
Alex Reyes,0.262,281.1,
Maikel Franco,0.22,242.6,0.22
Jason Kipnis,0.21,229.3,0.21
Rafael Devers,0.20,115.5,0.20
Taijuan Walker,0.173,197.4,
Jedd Gyorko,0.16,344,0.16
Yonder Alonso,0.16,265.3,0.16
Gio Gonzalez,0.143,155.6,
Matt Davidson,0.14,405.9,0.14
Edubray Ramos,0.134,681.9,
Keynan Middleton,0.131,605.5,
Marcus Semien,0.13,222.5,0.13
Matt Shoemaker,0.118,340.3,
Nick Delmonico,0.10,430.6,0.10
Jose Peraza,0.10,209.6,0.10
Steven Matz,0.100,316.8,
Jay Bruce,0.08,161.5,0.08
Gregory Polanco,0.08,144.9,0.08
Joe Smith,0.034,651,
Michael Brantley,0.03,240.9,0.03
Kevin Gausman,0.029,199,
Jordan Montgomery,0.028,234.8,
Tim Anderson,0.02,197.3,0.02
Craig Stammen,0.021,683.2,
Michael Fulmer,0.016,193.1,
Amed Rosario,0.01,247.9,0.01
Rick Porcello,0.007,236.5,
Jorge Soler,0.00,363.8,0.00
Corey Dickerson,-0.02,225.6,-0.02
Brandon Crawford,-0.07,339.2,-0.07
Collin McHugh,-0.082,371.7,
Max Kepler,-0.10,294.2,-0.10
Ross Stripling,-0.101,633,
George Kontos,-0.112,681.2,
Mike Montgomery,-0.131,402.5,
Chris Hatcher,-0.139,652.1,
Chris Rusin,-0.150,648.1,
Adam Warren,-0.209,638.7,
Brett Gardner,-0.23,177.8,-0.23
Cory Gearrin,-0.237,668,
Eric Hosmer,-0.24,82.6,-0.24
Justin Bour,-0.24,201.4,-0.24
Brandon Maurer,-0.244,524,
Vince Velasquez,-0.248,346.7,
Tanner Roark,-0.274,244.8,
Jose Alvarado,-0.283,630,
Andrew Kittredge,-0.311,656.1,
Ryan Zimmerman,-0.35,148.8,-0.35
Mark Trumbo,-0.40,281.3,-0.40
Tyler Glasnow,-0.437,373.8,
Bryan Mitchell,-0.452,482.3,
Asdrubal Cabrera,-0.50,313.2,-0.50
Jon Jay,-0.51,548,-0.51
Aaron Hicks,-0.51,224.3,-0.51
David Peralta,-0.51,268.9,-0.51
Jim Johnson,-0.513,554.4,
Miles Mikolas,-0.517,287,
Manuel Margot,-0.53,137.9,-0.53
Cole Hamels,-0.532,237.5,
Brad Ziegler,-0.556,313.4,
Dylan Bundy,-0.568,192.3,
Dan Winkler,-0.600,647.6,
Jose Leclerc,-0.603,641.2,
Jose Pirela,-0.61,354.8,-0.61
Hyun-Jin Ryu,-0.618,334.7,
Scooter Gennett,-0.62,205.5,-0.62
Felix Hernandez,-0.623,280.6,
Carlos Gonzalez,-0.67,278.5,-0.67
Orlando Arcia,-0.68,182.6,-0.68
Neil Walker,-0.68,385,-0.68
Ryan Pressly,-0.704,649.8,
Tyler Skaggs,-0.756,379.2,
Adam Ottavino,-0.762,665.2,
Joe Jimenez,-0.764,540.7,
Tony Cingrani,-0.782,707.9,
Seth Smith,-0.79,681,-0.79
Russell Martin,-0.79,314.3,-0.79
Joc Pederson,-0.80,394.6,-0.80
Andrelton Simmons,-0.80,219.5,-0.80
Zack Cozart,-0.81,222.2,-0.81
Sean Newcomb,-0.861,307.1,
Marwin Gonzalez,-0.86,122.7,-0.86
Carlos Rodon,-0.868,383.9,
Jose Ramirez,-0.876,633.6,
Jimmy Nelson,-0.884,335.3,
Marco Estrada,-0.886,301.3,
Buster Posey,-0.91,59.8,-0.91
Bud Norris,-0.920,525.7,
Brian McCann,-0.92,223.3,-0.92
J.T. Realmuto,-0.92,108.6,-0.92
Starlin Castro,-0.93,286,-0.93
Chase Anderson,-0.936,175.4,
Sean Manaea,-0.936,244.4,
Ender Inciarte,-0.94,121.8,-0.94
Ivan Nova,-0.942,345.4,
Adam Morgan,-0.968,685.4,
Tyler Flowers,-0.99,302,-0.99
Andrew Heaney,-1.024,405.5,
Josh Bell,-1.04,188.2,-1.04
Willie Calhoun,-1.06,270.9,-1.06
Ketel Marte,-1.06,335.5,-1.06
Brad Miller,-1.09,449.2,-1.09
Jeimer Candelario,-1.09,337.5,-1.09
Chad Pinder,-1.11,451.3,-1.11
Gregory Bird,-1.11,174.4,-1.11
Julio Teheran,-1.131,231.8,
Nathan Karns,-1.145,426.3,
Victor Martinez,-1.15,494,-1.15
Michael Lorenzen,-1.156,620.5,
Luis Garcia,-1.158,649.4,
Jason Heyward,-1.17,411.1,-1.17
Brock Stewart,-1.175,552.9,
Mike Leake,-1.180,332,
Scott Kingery,-1.18,269.4,-1.18
Ryon Healy,-1.18,230.2,-1.18
Nick Pivetta,-1.183,418.1,
Mike Clevinger,-1.189,193.6,
Martin Maldonado,-1.21,405.6,-1.21
Cameron Maybin,-1.21,320.4,-1.21
Taylor Rogers,-1.285,612.4,
Luis Valbuena,-1.30,501.9,-1.30
Dan Straily,-1.304,333.5,
Jose Iglesias,-1.31,524.2,-1.31
Patrick Corbin,-1.315,226.6,
Steve Pearce,-1.37,605,-1.37
Jakob Junis,-1.373,359.7,
Anthony Banda,-1.376,652.2,
Hunter Pence,-1.38,424.4,-1.38
Chase Headley,-1.40,408.3,-1.40
Albert Pujols,-1.44,312.4,-1.44
Erasmo Ramirez,-1.470,479.4,
Jorge Alfaro,-1.47,242.9,-1.47
Frankie Montas,-1.497,673.1,
German Marquez,-1.500,340.7,
Freddy Galvis,-1.51,370.3,-1.51
Mike Foltynewicz,-1.509,331.5,
Logan Forsythe,-1.53,404.7,-1.53
Tyler Mahle,-1.538,394.5,
Tyler Anderson,-1.539,415.1,
DJ LeMahieu,-1.54,137.1,-1.54
Joe Panik,-1.56,382.3,-1.56
Brandon Phillips,-1.60,445.8,-1.60
Salvador Perez,-1.60,100.1,-1.60
Eduardo Nunez,-1.60,135.8,-1.60
Brandon McCarthy,-1.611,402.4,
Nick Ahmed,-1.64,611.8,-1.64
Ervin Santana,-1.643,260.1,
Emilio Pagan,-1.655,529,
Colby Rasmus,-1.66,530,-1.66
Leonys Martin,-1.67,392.1,-1.67
Nathan Eovaldi,-1.698,479.6,
Nick Williams,-1.72,316.8,-1.72
Zach Davies,-1.725,301.2,
Matt Andriese,-1.748,505.6,
Zack Wheeler,-1.749,428,
Jack Flaherty,-1.765,341.6,
Matt Strahm,-1.791,543.9,
Tyler Chatwood,-1.806,246.1,
Santiago Casilla,-1.818,644.3,
Yolmer Sanchez,-1.83,435,-1.83
Alex Cobb,-1.838,249.8,
Yadier Molina,-1.85,152.3,-1.85
Anibal Sanchez,-1.874,683.5,
Devon Travis,-1.88,371,-1.88
Jeremy Jeffress,-1.913,641.8,
James McCann,-1.93,301.2,-1.93
Jason Vargas,-1.942,417.6,
Ian Kennedy,-1.974,431,
Curtis Granderson,-1.99,436.8,-1.99
Jordy Mercer,-2.00,500.8,-2.00
Wandy Peralta,-1.997,679.6,
Dansby Swanson,-2.00,383.9,-2.00
Josh Reddick,-2.00,277.6,-2.00
Jake Odorizzi,-2.028,258.5,
Tyler Clippard,-2.047,733.3,
Aaron Sanchez,-2.053,193.4,
Anthony DeSclafani,-2.070,401.8,
Matt Joyce,-2.08,469,-2.08
Steven Brault,-2.087,676.3,
Ryan Buchter,-2.094,673.7,
Ryan McMahon,-2.10,299.4,-2.10
Sal Romano,-2.110,579.5,
Cesar Hernandez,-2.11,259.5,-2.11
Matt Duffy,-2.12,444.6,-2.12
Lance Lynn,-2.125,221.2,
CC Sabathia,-2.145,332.7,
Adam Wainwright,-2.162,424.3,
Matt Holliday,-2.21,688.4,-2.21
Brandon Kintzler,-2.235,486.1,
Chad Kuhl,-2.239,388.3,
Ben Zobrist,-2.25,464.7,-2.25
Jerad Eickhoff,-2.291,377.6,
Josh Tomlin,-2.338,440.8,
Clayton Richard,-2.365,474.6,
Austin Hedges,-2.37,253.7,-2.37
Paulo Orlando,-2.39,663.8,-2.39
Lonnie Chisenhall,-2.40,384.7,-2.40
Wilson Ramos,-2.40,158.9,-2.40
Mallex Smith,-2.45,299,-2.45
Jed Lowrie,-2.45,413.8,-2.45
Jason Castro,-2.46,381.7,-2.46
Troy Tulowitzki,-2.47,404.2,-2.47
Jason Hammel,-2.488,529.8,
Eduardo Escobar,-2.52,422.3,-2.52
