Name,zPR,ADP,
Craig Kimbrel,13.590,45.2,
Kenley Jansen,12.627,36.4,
Aroldis Chapman,11.766,63.2,
Mike Trout,11.35850055,1.1,13.63
Andrew Miller,10.660,204.4,
Anthony Rizzo,10.15370259,25.7,12.18
Corey Knebel,10.017,67.3,
Ken Giles,9.223,93.2,
Sean Doolittle,8.836,119.6,
Brad Hand,8.759,104.2,
Edwin Diaz,8.589,88.8,
Dellin Betances,8.254,280.8,
Roberto Osuna,8.126,76.2,
Felipe Rivero,8.107,86.2,
Corey Kluber,8.099,13.4,
Giancarlo Stanton,8.0899175,8.1,9.71
Chris Sale,7.644,12,
Kris Bryant,7.587592031,15.5,9.11
Jose Altuve,7.542048316,2.2,9.05
Charlie Blackmon,7.382220672,8.4,8.86
Freddie Freeman,7.183434903,21.1,8.62
Paul Goldschmidt,7.147763664,7.6,8.58
David Robertson,7.113,306.5,
Chad Green,7.100,303.7,
Cody Allen,7.061,89.7,
Joey Votto,6.728988959,19.2,8.07
Starling Marte,6.690007182,47.7,8.03
Bryce Harper,6.68938132,8.8,8.03
Wade Davis,6.563,110.6,
Clayton Kershaw,6.387,7.4,
Chris Archer,6.377,54.3,
Stephen Strasburg,6.193,25.2,
Blake Parker,6.132,237.1,
Yu Darvish,6.131,47.6,
Luis Severino,5.805,31.9,
Nolan Arenado,5.801738954,4.5,6.96
,5.784,294.9,
Raisel Iglesias,5.600,97.7,
Max Scherzer,5.580,10,
Jacob deGrom,5.577,34.5,
Mookie Betts,5.574119257,7.8,6.69
A.J. Minter,5.463,365.7,
Archie Bradley,5.398,186.3,
Kirby Yates,5.385,458.6,
Carl Edwards Jr.,5.340,339.3,
Trea Turner,5.318836368,4.5,6.38
Brandon Morrow,5.290,158.8,
Jose Abreu,5.197224961,41,6.24
Robbie Ray,5.125,47.1,
Josh Hader,5.121,302.1,
Jose Quintana,5.091,67.6,
Justin Verlander,5.077,40,
George Springer,5.059047847,31.4,6.07
Noah Syndergaard,5.020,28.4,
Carlos Correa,4.948605987,14.8,5.94
Ryan Madson,4.910,394.9,
Tommy Kahnle,4.883,454.8,
Josh Donaldson,4.787663716,32.3,5.75
James Paxton,4.775,74.2,
J.D. Martinez,4.710467951,22.8,5.65
Arodys Vizcaino,4.677,149.9,
A.J. Pollock,4.622813675,68.2,5.55
Wilmer Font,4.618,647.3,
Jose Ramirez,4.567957724,20.4,5.48
Mark Melancon,4.513,179.8,
Darren O'Day,4.459,537.5,
Anthony Swarzak,4.420,480.9,
Keone Kela,4.340,332.1,
Aaron Judge,4.224199345,19.9,5.07
Drew Steckenrider,4.213,358.8,
Derek Dietrich,4.201749357,458.6,5.04
Francisco Lindor,4.177353247,20.7,5.01
Christian Yelich,4.158291975,44.7,4.99
Luke Gregerson,4.137,300.2,
Jeurys Familia,4.125,169.1,
Rich Hill,4.120,127.5,
Cam Bedrosian,3.990,293.9,
Rhys Hoskins,3.981314417,48.8,4.78
Hector Neris,3.936,140.3,
Mychal Givens,3.910,379.6,
Hector Rondon,3.866,601.1,
Cody Bellinger,3.851752266,26.8,4.62
Pedro Strop,3.840,594.4,
Zack Greinke,3.811,49,
Anthony Rendon,3.788366727,55.7,4.55
Brad Brach,3.724,206.4,
Nelson Cruz,3.67291967,59.5,4.41
Nate Jones,3.659,330,
Manny Machado,3.645751022,17.3,4.37
Justin Turner,3.634862067,110.2,4.36
Dominic Leone,3.621,343.7,
Brian Dozier,3.616976272,37.2,4.34
Aaron Nola,3.615,60.6,
Daniel Murphy,3.604191341,91.5,4.33
Michael Feliz,3.571,648.2,
Adam Eaton,3.544751843,154,4.25
Tyler Lyons,3.461,416.5,
Alex Colome,3.451,128.2,
Justin Wilson,3.404,602.5,
Tommy Pham,3.3927932,57.7,4.07
David Price,3.361,102.6,
Corey Seager,3.35538044,43.5,4.03
Pat Neshek,3.310,490.3,
Jon Lester,3.290,116.3,
Andrew Benintendi,3.260111592,40.8,3.91
Carlos Martinez,3.224,52.4,
Jerry Blevins,3.205,675.5,
Kyle Barraclough,3.191,331.5,
Madison Bumgarner,3.144,45,
Ryan Braun,3.136799545,121.2,3.76
Alex Bregman,3.105513579,32.4,3.73
Joakim Soria,3.084,322.9,
Masahiro Tanaka,3.074,97,
Kelvin Herrera,3.031,192,
Edwin Encarnacion,3.020386387,57.6,3.62
Yasiel Puig,2.972695731,109.5,3.57
Carlos Carrasco,2.968,35.3,
Rougned Odor,2.925687828,104.5,3.51
Michael Conforto,2.919040412,192,3.50
Andrew McCutchen,2.845312412,93,3.41
Jake Arrieta,2.842,103.2,
Brad Peacock,2.810,266.8,
Shin-Soo Choo,2.796180414,258.9,3.36
Will Harris,2.790,548.2,
Lance McCullers Jr.,2.747,134.3,
Brad Boxberger,2.744,302,
Jeff Samardzija,2.733,154.3,
Miguel Cabrera,2.673019614,95.7,3.21
Liam Hendriks,2.622,669,
Tommy Hunter,2.590,571,
Jonathan Schoop,2.550695292,64.2,3.06
Lorenzo Cain,2.528901734,81.9,3.03
Michael Brantley,2.522294896,240.9,3.03
Ronald Acuna,2.500926753,100.7,3.00
Kyle Seager,2.479379524,141.2,2.98
Brett Cecil,2.478,635.3,
Shane Greene,2.476,220.3,
Kolten Wong,2.475798601,357.9,2.97
Dallas Keuchel,2.442,75,
Khris Davis,2.420642856,67.8,2.90
Blake Treinen,2.404,170.7,
Greg Holland,2.383,196.4,
Walker Buehler,2.383,340,
Matt Carpenter,2.375317464,187,2.85
Josh Harrison,2.364339852,269,2.84
Steve Cishek,2.315,505.6,
Carlos Santana,2.224554224,173.1,2.67
Buster Posey,2.218286677,59.8,2.66
Marcell Ozuna,2.211432017,47.2,2.65
Jameson Taillon,2.190,180.6,
Juan Nicasio,2.188,437.1,
AJ Ramos,2.152,354.8,
Shohei Ohtani,2.144,94.8,
DJ LeMahieu,2.139270692,137.1,2.57
Carlos Gomez,2.133392829,308.7,2.56
David Hernandez,2.131,665.6,
Xander Bogaerts,2.117729057,79.2,2.54
Nicholas Castellanos,2.088339808,94.8,2.51
Jackie Bradley Jr.,2.064795488,288.4,2.48
Josh Fields,2.050,662.7,
Adrian Beltre,2.024455437,157.2,2.43
Dee Gordon,2.009216335,28.7,2.41
Wil Myers,2.004659189,64.1,2.41
Tony Watson,1.988,546.6,
Yoenis Cespedes,1.978905922,95,2.37
Blake Snell,1.970,196.2,
Gerrit Cole,1.944,76.8,
Yulieski Gurriel,1.92309921,253.8,2.31
Jake Lamb,1.907967756,138.4,2.29
Yusmeiro Petit,1.896,476.2,
Joey Gallo,1.885391202,102.8,2.26
Zach McAllister,1.861,683.5,
Avisail Garcia,1.842255237,197.7,2.21
Luis Castillo,1.795,92,
Johnny Cueto,1.784,152.6,
Joe Kelly,1.770,650.8,
Addison Reed,1.742,274.9,
Danny Salazar,1.673,214.7,
Dexter Fowler,1.670980199,243.4,2.01
Trevor Story,1.66344285,113,2.00
Eugenio Suarez,1.632492729,186.5,1.96
Elvis Andrus,1.632407912,60.3,1.96
Alex Wood,1.624,114.5,
Matt Bush,1.623,454.1,
Fernando Rodney,1.609,220.4,
Jean Segura,1.594637795,74.4,1.91
Domingo Santana,1.577969105,101.1,1.89
Enny Romero,1.577,714,
Byron Buxton,1.570165666,48.9,1.88
Justin Upton,1.566526866,49.3,1.88
Chaz Roe,1.559,703.8,
Bryan Shaw,1.557,602.1,
Jon Gray,1.531,162.4,
Robinson Cano,1.528586709,88.7,1.83
Mike Moustakas,1.516507536,135.3,1.82
Ryan Tepera,1.505,615,
Trevor Bauer,1.497,131.1,
Trevor Hildenberger,1.495,466.8,
Logan Morrison,1.489942419,272.3,1.79
Odubel Herrera,1.484934203,213.2,1.78
Gary Sanchez,1.461821939,19.1,1.75
Brandon Belt,1.442108275,297.3,1.73
Ian Desmond,1.431872546,117.9,1.72
Miguel Sano,1.393854527,112.1,1.67
Scott Alexander,1.367,655.4,
Nomar Mazara,1.358531199,152.9,1.63
Kyle Hendricks,1.358,112.4,
Eric Hosmer,1.356606936,82.6,1.63
Adam Jones,1.332507621,148.6,1.60
Whit Merrifield,1.330050813,69,1.60
Jake McGee,1.302,539.3,
Marcus Stroman,1.287,150.8,
Javier Baez,1.273860766,104.9,1.53
Kevin Kiermaier,1.266622521,156.4,1.52
Bradley Zimmer,1.211950721,191.9,1.45
Yonder Alonso,1.162376801,265.3,1.39
Mitch Haniger,1.155683282,219.1,1.39
Hunter Strickland,1.129,596,
Seung Hwan Oh,1.108,489.5,
Justin Smoak,1.094194984,158.2,1.31
Charlie Morton,1.083,168,
Willson Contreras,1.075722137,50.6,1.29
James Pazos,1.073,665.9,
Sergio Romo,1.070,657,
Phil Maton,1.070,654.4,
Ozzie Albies,1.041014143,110.9,1.25
Rafael Devers,1.012761219,115.5,1.22
Scott Schebler,0.9883604222,284.3,1.19
Drew Pomeranz,0.985,207.1,
Luiz Gohara,0.980,297.7,
Joe Musgrove,0.919,332.1,
Zach Britton,0.915,299.7,
Lucas Duda,0.9137014786,385.8,1.10
Matt Olson,0.913149292,121.8,1.10
Kenta Maeda,0.862,193.3,
Eric Thames,0.8320419475,221.9,1.00
Michael Wacha,0.826,220.4,
Ian Happ,0.8195220577,119.5,0.98
Sonny Gray,0.817,139.6,
Kevin Pillar,0.8146261472,323.2,0.98
Garrett Richards,0.809,162,
Juan Minaya,0.802,367.6,
Nick Vincent,0.797,685.9,
J.A. Happ,0.787,249,
Matt Barnes,0.761,627.8,
Travis Shaw,0.738351235,88.4,0.89
Ender Inciarte,0.7172363512,121.8,0.86
Trey Mancini,0.7091428449,151.9,0.85
Paul DeJong,0.6973517579,151.7,0.84
Jake Faria,0.688,232.8,
Jacob Barnes,0.679,622.6,
Carson Smith,0.675,583.3,
Evan Longoria,0.6620572251,206.2,0.79
David Peralta,0.6472492738,268.9,0.78
Danny Duffy,0.614,196.5,
Jose Berrios,0.582,103.4,
C.J. Cron,0.5771984168,351.5,0.69
Justin Bour,0.5094513475,201.4,0.61
Ketel Marte,0.4868555693,335.5,0.58
Matt Albers,0.481,625,
Luke Weaver,0.464,108,
Jake Diekman,0.463,586,
Eduardo Rodriguez,0.462,312.9,
Randal Grichuk,0.4552244913,279.4,0.55
Mike Minor,0.438,320.5,
Todd Frazier,0.4361486918,286.2,0.52
Didi Gregorius,0.4311479648,120.4,0.52
Gregory Polanco,0.4300006002,144.9,0.52
Alex Claudio,0.427,296.1,
Ian Kinsler,0.3982897809,183.6,0.48
Alex Gordon,0.3918989875,527.3,0.47
Zack Godley,0.392,117.2,
Dinelson Lamet,0.388,213.1,
Kole Calhoun,0.3804925618,279.5,0.46
Delino DeShields,0.3748590154,172.2,0.45
Joe Panik,0.3560518047,382.3,0.43
Chris Taylor,0.3473012627,94.4,0.42
Eddie Rosario,0.3234991379,125,0.39
Josh Bell,0.2949415309,188.2,0.35
Pedro Baez,0.287,642.6,
Yoan Moncada,0.2713956964,132.2,0.33
Stephen Piscotty,0.2690913712,286.4,0.32
Alex Reyes,0.262,281.1,
Neil Walker,0.2537320278,385,0.30
Brett Gardner,0.2458832502,177.8,0.30
Jon Jay,0.2107767007,548,0.25
Taijuan Walker,0.173,197.4,
Jose Peraza,0.1655555415,209.6,0.20
Jason Kipnis,0.1622868012,229.3,0.19
Addison Russell,0.1502123322,264.2,0.18
Gio Gonzalez,0.143,155.6,
Edubray Ramos,0.134,681.9,
Keynan Middleton,0.131,605.5,
Matt Shoemaker,0.118,340.3,
Steven Matz,0.100,316.8,
Joe Smith,0.034,651,
Evan Gattis,0.03294934012,141.3,0.04
Kevin Gausman,0.029,199,
Jordan Montgomery,0.028,234.8,
Billy Hamilton,0.02179841885,71.3,0.03
Craig Stammen,0.021,683.2,
Michael Fulmer,0.016,193.1,
Joe Mauer,0.01412642105,393.2,0.02
Rick Porcello,0.007,236.5,
Maikel Franco,-0.00792795775,242.6,-0.01
Carlos Gonzalez,-0.0103961457,278.5,-0.01
Collin McHugh,-0.082,371.7,
Ross Stripling,-0.101,633,
George Kontos,-0.112,681.2,
Kendrys Morales,-0.1205131431,310,-0.14
Aaron Altherr,-0.123478359,286.5,-0.15
Mike Montgomery,-0.131,402.5,
Chris Hatcher,-0.139,652.1,
Chris Rusin,-0.150,648.1,
Willie Calhoun,-0.154268064,270.9,-0.19
Eduardo Nunez,-0.1591240726,135.8,-0.19
Jonathan Lucroy,-0.1794446959,203.9,-0.22
Ryan Zimmerman,-0.2009003626,148.8,-0.24
Adam Warren,-0.209,638.7,
Kyle Schwarber,-0.2103165958,162.5,-0.25
Jedd Gyorko,-0.2112894164,344,-0.25
Cory Gearrin,-0.237,668,
Lewis Brinson,-0.2392144253,275.1,-0.29
Brandon Maurer,-0.244,524,
Vince Velasquez,-0.248,346.7,
Chris Davis,-0.2495521775,251.8,-0.30
Tanner Roark,-0.274,244.8,
Ryan McMahon,-0.2831850759,299.4,-0.34
Jose Alvarado,-0.283,630,
Steven Souza Jr.,-0.3053060289,206.6,-0.37
Andrew Kittredge,-0.311,656.1,
Mikie Mahtook,-0.3280440582,344.8,-0.39
Jonathan Villar,-0.36024313,174.4,-0.43
Brandon Crawford,-0.3648820512,339.2,-0.44
Max Kepler,-0.3661626213,294.2,-0.44
Corey Dickerson,-0.3761556088,225.6,-0.45
Tyler Glasnow,-0.437,373.8,
Bryan Mitchell,-0.452,482.3,
Matt Chapman,-0.4674583961,281.9,-0.56
Seth Smith,-0.4699136693,681,-0.56
Asdrubal Cabrera,-0.4705171463,313.2,-0.56
Jason Heyward,-0.484259683,411.1,-0.58
Andrelton Simmons,-0.500192976,219.5,-0.60
Jim Johnson,-0.513,554.4,
Miles Mikolas,-0.517,287,
Victor Martinez,-0.5183330652,494,-0.62
Marcus Semien,-0.5273835748,222.5,-0.63
Cole Hamels,-0.532,237.5,
Brad Ziegler,-0.556,313.4,
Dylan Bundy,-0.568,192.3,
Cesar Hernandez,-0.5799014293,259.5,-0.70
Dan Winkler,-0.600,647.6,
Jose Leclerc,-0.603,641.2,
Hyun-Jin Ryu,-0.618,334.7,
Felix Hernandez,-0.623,280.6,
Robinson Chirinos,-0.6579539864,253.1,-0.79
Dustin Pedroia,-0.6597262056,407.1,-0.79
Josh Reddick,-0.6688326988,277.6,-0.80
Aaron Hicks,-0.7004311178,224.3,-0.84
Ryan Pressly,-0.704,649.8,
J.T. Realmuto,-0.7102803197,108.6,-0.85
Starlin Castro,-0.7387807669,286,-0.89
Tyler Skaggs,-0.756,379.2,
Adam Ottavino,-0.762,665.2,
Joe Jimenez,-0.764,540.7,
Tony Cingrani,-0.782,707.9,
Marwin Gonzalez,-0.8246801729,122.7,-0.99
Tim Beckham,-0.8412684988,259.5,-1.01
Sean Newcomb,-0.861,307.1,
Carlos Rodon,-0.868,383.9,
Jose Ramirez,-0.876,633.6,
Jose Pirela,-0.8779823633,354.8,-1.05
Jimmy Nelson,-0.884,335.3,
Manuel Margot,-0.8861168717,137.9,-1.06
Marco Estrada,-0.886,301.3,
Adam Duvall,-0.9006031588,179.9,-1.08
Bud Norris,-0.920,525.7,
Joc Pederson,-0.931820472,394.6,-1.12
Chase Anderson,-0.936,175.4,
Sean Manaea,-0.936,244.4,
Ivan Nova,-0.942,345.4,
Nick Delmonico,-0.9626283301,430.6,-1.16
Adam Morgan,-0.968,685.4,
Jay Bruce,-1.000516727,161.5,-1.20
Andrew Heaney,-1.024,405.5,
Julio Teheran,-1.131,231.8,
Zack Cozart,-1.131485305,222.2,-1.36
Scooter Gennett,-1.136785887,205.5,-1.36
Nathan Karns,-1.145,426.3,
Michael Lorenzen,-1.156,620.5,
Luis Garcia,-1.158,649.4,
Brock Stewart,-1.175,552.9,
Mike Leake,-1.180,332,
Nick Pivetta,-1.183,418.1,
Mike Clevinger,-1.189,193.6,
Devon Travis,-1.225744773,371,-1.47
Yadier Molina,-1.232320444,152.3,-1.48
Amed Rosario,-1.247002239,247.9,-1.50
Tyler Flowers,-1.269389732,302,-1.52
Jorge Soler,-1.277461564,363.8,-1.53
Taylor Rogers,-1.285,612.4,
Dan Straily,-1.304,333.5,
Jose Iglesias,-1.310597377,524.2,-1.57
Patrick Corbin,-1.315,226.6,
Ben Zobrist,-1.315640519,464.7,-1.58
Orlando Arcia,-1.319392822,182.6,-1.58
Gregory Bird,-1.330343159,174.4,-1.60
Michael A. Taylor,-1.346831356,222.8,-1.62
Steve Pearce,-1.369999375,605,-1.64
Jakob Junis,-1.373,359.7,
Anthony Banda,-1.376,652.2,
Erasmo Ramirez,-1.470,479.4,
Frankie Montas,-1.497,673.1,
German Marquez,-1.500,340.7,
Mike Foltynewicz,-1.509,331.5,
Tyler Mahle,-1.538,394.5,
Tyler Anderson,-1.539,415.1,
Brandon Phillips,-1.599259983,445.8,-1.92
Jesse Winker,-1.607923837,318.8,-1.93
Brandon McCarthy,-1.611,402.4,
Chase Headley,-1.611216983,408.3,-1.93
Ervin Santana,-1.643,260.1,
Mark Trumbo,-1.65190734,281.3,-1.98
Emilio Pagan,-1.655,529,
Tim Anderson,-1.660064028,197.3,-1.99
Cameron Maybin,-1.67521169,320.4,-2.01
Nick Markakis,-1.682760238,435.1,-2.02
Hunter Pence,-1.684645011,424.4,-2.02
Russell Martin,-1.690978601,314.3,-2.03
Nathan Eovaldi,-1.698,479.6,
Hanley Ramirez,-1.708490489,312.3,-2.05
Logan Forsythe,-1.711356784,404.7,-2.05
Zach Davies,-1.725,301.2,
Matt Andriese,-1.748,505.6,
Zack Wheeler,-1.749,428,
Jack Flaherty,-1.765,341.6,
Jordy Mercer,-1.771420308,500.8,-2.13
Jeimer Candelario,-1.772762792,337.5,-2.13
Matt Strahm,-1.791,543.9,
Tyler Chatwood,-1.806,246.1,
Dansby Swanson,-1.80626032,383.9,-2.17
Santiago Casilla,-1.818,644.3,
Alex Cobb,-1.838,249.8,
Mike Zunino,-1.841309492,156.5,-2.21
Jed Lowrie,-1.858572794,413.8,-2.23
Anibal Sanchez,-1.874,683.5,
Brian McCann,-1.883379885,223.3,-2.26
Jeremy Jeffress,-1.913,641.8,
Brad Miller,-1.916153379,449.2,-2.30
Jason Vargas,-1.942,417.6,
Gerardo Parra,-1.952545669,363,-2.34
Ian Kennedy,-1.974,431,
Wandy Peralta,-1.997,679.6,
Jake Odorizzi,-2.028,258.5,
Scott Kingery,-2.031025099,269.4,-2.44
Denard Span,-2.042512728,440.2,-2.45
Melky Cabrera,-2.045293941,366.3,-2.45
Tyler Clippard,-2.047,733.3,
Aaron Sanchez,-2.053,193.4,
Anthony DeSclafani,-2.070,401.8,
Steven Brault,-2.087,676.3,
Ryan Buchter,-2.094,673.7,
Sal Romano,-2.110,579.5,
Lance Lynn,-2.125,221.2,
CC Sabathia,-2.145,332.7,
Adam Wainwright,-2.162,424.3,
Curtis Granderson,-2.172260914,436.8,-2.61
