PABST BLUE RIBBON BRAW... (0-0),,,,
SLOT,PLAYER,TEAM,POS	ACQ,
C,Willson Contreras,ChC,C,
1B,Miguel Cabrera,Det,1B,
2B,Dee Gordon,Sea,2B,
3B,Joey Gallo,Tex,3B, 1B 	
SS,Francisco Lindor,Cle,SS	,
2B/SS,Ozzie Albies,Atl,2B	,
1B/3B,Travis Shaw,Mil,3B,
OF,Starling Marte,Pit,OF,
OF,Byron Buxton,Min,OF,
OF,Kyle Schwarber,ChC,OF,
OF,Carlos Gomez,TB,OF,
OF,Bradley Zimmer,Cle,OF,
UTIL,Shohei Ohtani,LAA,SP, DH 	
P,Max Scherzer,Wsh,SP,
P,Clayton Kershaw,LAD,SP,
P,Wade Davis,Col,RP,
P,David Price,Bos,SP,
P,Johnny Cueto,SF,SP,
P,Jeurys Familia,NYM,RP,
P,Andrew Miller,Cle,RP	,
P,Danny Duffy,KC,SP,
P,Brandon Morrow,ChC,RP	,
P,Greg Holland,StL,RP,
P,Chad Green,NYY,RP	,
P,Shane Greene,Det,RP	,
Bench,Justin Verlander,Hou,SP,
Bench,Justin Upton,LAA,OF,
Bench,Madison Bumgarner,SF,SP,
Bench,Daniel Murphy,Wsh,2B,
Bench,Ronald Acuna,Atl,OF	,
,,,,
TEAM WESSELS (0-0),,,,
SLOT,PLAYER,TEAM,POS	ACQ,
C,Austin Barnes,LAD,C, 2B	
1B,Joey Votto,Cin,1B	,
2B,Asdrubal Cabrera,NYM,SS, 2B
3B,Kris Bryant,ChC,3B,
SS,Elvis Andrus,Tex,SS,
2B/SS,Didi Gregorius,NYY,SS,
1B/3B,Kyle Seager,Sea,3B,
OF,A.J. Pollock,Ari,OF,
OF,Lorenzo Cain,Mil,OF,
OF,Adam Jones,Bal,OF,
OF,Dexter Fowler,StL,OF,
OF,Kole Calhoun,LAA,OF	,
UTIL, ,,,
P,Jacob deGrom,NYM,SP,
P,Kenley Jansen,LAD,RP,
P,Yu Darvish,ChC,SP,
P,Ken Giles,Hou,RP	,
P,Cody Allen,Cle,RP,
P,Sean Doolittle,Wsh,RP,
P,Aaron Sanchez,Tor,SP,
P,Jordan Montgomery,NYY,SP,
P,Felix Hernandez,Sea,SP,
P,Josh Hader,Mil,RP	,
P,Jake Odorizzi,Min,SP,
P,David Robertson,NYY,RP,
Bench,Jose Altuve,Hou,2B,
Bench,Christian Yelich,Mil,OF,
Bench,Rich Hill,LAD,SP,
Bench,Matt Harvey,NYM,SP,
Bench, ,,,
Propose Trade,,,,
,,,,
NO PUN BENINTENDI'D (0-0),,,,
SLOT,PLAYER,TEAM,POS	ACQ,
C,Christian Vazquez,Bos,C,
1B,Eric Hosmer,SD,1B,
2B,Brian Dozier,Min,2B,
3B,Manny Machado,Bal,3B,
SS,Xander Bogaerts,Bos,SS,
2B/SS, ,,,
1B/3B,Rafael Devers,Bos,3B,
OF,J.D. Martinez,Bos,OF,
OF,Andrew Benintendi,Bos,OF,
OF,Chris Owings,Ari,SS, 2B
OF, ,,,
OF, ,,,
UTIL, ,,,
P,Carlos Martinez,StL,SP,
P,Masahiro Tanaka,NYY,SP,
P,Alex Wood,LAD,SP,
P,Trevor Bauer,Cle,SP,
P,Lance McCullers Jr.,Hou,SP,
P,Marcus Stroman,Tor,SP,
P,Cole Hamels,Tex,SP,
P,Brad Peacock,Hou,RP, SP 	
P,Rick Porcello,Bos,SP,
P,Kenta Maeda,LAD,SP,
P,Jameson Taillon,Pit,SP,
P,Lucas Giolito,CWS,SP,
Bench,Mike Trout,LAA,OF,
Bench,Alex Bregman,Hou,SS, 3B 	
Bench,Edwin Encarnacion,Cle,1B, DH 	
Bench,Salvador Perez,KC,C,
Bench,Ender Inciarte,Atl,OF,
Bench,Justin Smoak,Tor,1B,
Bench,Josh Reddick,Hou,OF,
Bench,Brian McCann,Hou,C,
Bench,Joe Panik,SF,2B,
Propose Trade,,,,
,,,,
OUTER SPACE EUPHORIC S... (0-0),,,,
SLOT,PLAYER,TEAM,POS	ACQ,
C,Welington Castillo,CWS,C,
1B,Freddie man,Atl,1B,
2B,Robinson Cano,Sea,2B,
3B,Mike Moustakas,KC,3B,
SS,Carlos Correa,Hou,SS,
2B/SS,Andrelton Simmons,LAA,SS,
1B/3B,Jose Abreu,CWS,1B,
OF,Charlie Blackmon,Col,OF,
OF,Yoenis Cespedes,NYM,OF,
OF,Khris Davis,Oak,OF, DH 	
OF,Ian Desmond,Col,1B, OF 	
OF,Carlos Gonzalez,Col,OF	,
