PABST BLUE RIBBON BRAW... (0-0),,5.784,294.9
['SLOT', 'PLAYER', 'TEAM', 'POS\tACQ', '']
C,Willson Contreras,0.34,50.6
1B,Miguel Cabrera,0.49,95.7
2B,Dee Gordon,1.79,28.7
3B,Joey Gallo,4.31,102.8
SS,Francisco Lindor,2.36,20.7
2B/SS,Ozzie Albies,1.32,110.9
1B/3B,Travis Shaw,1.55,88.4
OF,Starling Marte,6.58,47.7
OF,Byron Buxton,3.13,48.9
OF,Kyle Schwarber,0.86,162.5
OF,Carlos Gomez,4.44,308.7
OF,Bradley Zimmer,3.23,191.9
UTIL,Shohei Ohtani,-3.25,94.8
P,Max Scherzer,5.580,10
P,Clayton Kershaw,6.387,7.4
P,Wade Davis,6.563,110.6
P,David Price,3.361,102.6
P,Johnny Cueto,1.784,152.6
P,Jeurys Familia,4.125,169.1
P,Andrew Miller,10.660,204.4
P,Danny Duffy,0.614,196.5
P,Brandon Morrow,5.290,158.8
P,Greg Holland,2.383,196.4
P,Chad Green,7.100,303.7
P,Shane Greene,2.476,220.3
Bench,Justin Verlander,5.077,40
Bench,Justin Upton,2.81,49.3
Bench,Madison Bumgarner,3.144,45
Bench,Daniel Murphy,0.57,91.5
Bench,Ronald Acuna,2.43,100.7
,,5.784,294.9
TEAM WESSELS (0-0),,5.784,294.9
['SLOT', 'PLAYER', 'TEAM', 'POS\tACQ', '']
C,Austin Barnes,-3.44,209.7
1B,Joey Votto,2.04,19.2
2B,Asdrubal Cabrera,-0.50,313.2
3B,Kris Bryant,6.02,15.5
SS,Elvis Andrus,0.84,60.3
2B/SS,Didi Gregorius,0.91,120.4
1B/3B,Kyle Seager,2.29,141.2
OF,A.J. Pollock,3.48,68.2
OF,Lorenzo Cain,1.42,81.9
OF,Adam Jones,1.83,148.6
OF,Dexter Fowler,0.77,243.4
OF,Kole Calhoun,0.44,279.5
['UTIL', ' ', '', '', '']
P,Jacob deGrom,5.577,34.5
P,Kenley Jansen,12.627,36.4
P,Yu Darvish,6.131,47.6
P,Ken Giles,9.223,93.2
P,Cody Allen,7.061,89.7
P,Sean Doolittle,8.836,119.6
P,Aaron Sanchez,-2.053,193.4
P,Jordan Montgomery,0.028,234.8
P,Felix Hernandez,-0.623,280.6
P,Josh Hader,5.121,302.1
P,Jake Odorizzi,-2.028,258.5
P,David Robertson,7.113,306.5
Bench,Jose Altuve,4.64,2.2
Bench,Christian Yelich,1.47,44.7
Bench,Rich Hill,4.120,127.5
Bench,Matt Harvey,-2.799,316.5
['Bench', ' ', '', '', '']
Propose Trade,,5.784,294.9
,,5.784,294.9
NO PUN BENINTENDI'D (0-0),,5.784,294.9
['SLOT', 'PLAYER', 'TEAM', 'POS\tACQ', '']
C,Christian Vazquez,-2.98,299.8
1B,Eric Hosmer,-0.24,82.6
2B,Brian Dozier,4.01,37.2
3B,Manny Machado,2.67,17.3
SS,Xander Bogaerts,0.36,79.2
['2B/SS', ' ', '', '', '']
1B/3B,Rafael Devers,0.20,115.5
OF,J.D. Martinez,3.27,22.8
OF,Andrew Benintendi,1.61,40.8
['OF', 'Chris Owings', 'Ari', 'SS', ' 2B']
['OF', ' ', '', '', '']
['OF', ' ', '', '', '']
['UTIL', ' ', '', '', '']
P,Carlos Martinez,3.224,52.4
P,Masahiro Tanaka,3.074,97
P,Alex Wood,1.624,114.5
P,Trevor Bauer,1.497,131.1
P,Lance McCullers Jr.,2.747,134.3
P,Marcus Stroman,1.287,150.8
P,Cole Hamels,-0.532,237.5
P,Brad Peacock,2.810,266.8
P,Rick Porcello,0.007,236.5
P,Kenta Maeda,0.862,193.3
P,Jameson Taillon,2.190,180.6
P,Lucas Giolito,-2.703,225.3
Bench,Mike Trout,7.79,1.1
Bench,Alex Bregman,2.54,32.4
Bench,Edwin Encarnacion,2.46,57.6
Bench,Salvador Perez,-1.60,100.1
Bench,Ender Inciarte,-0.94,121.8
Bench,Justin Smoak,1.39,158.2
Bench,Josh Reddick,-2.00,277.6
Bench,Brian McCann,-0.92,223.3
Bench,Joe Panik,-1.56,382.3
Propose Trade,,5.784,294.9
,,5.784,294.9
OUTER SPACE EUPHORIC S... (0-0),,5.784,294.9
['SLOT', 'PLAYER', 'TEAM', 'POS\tACQ', '']
C,Welington Castillo,-2.78,170.9
['1B', 'Freddie man', 'Atl', '1B', '']
2B,Robinson Cano,0.39,88.7
3B,Mike Moustakas,1.70,135.3
SS,Carlos Correa,2.41,14.8
2B/SS,Andrelton Simmons,-0.80,219.5
1B/3B,Jose Abreu,4.15,41
OF,Charlie Blackmon,5.17,8.4
OF,Yoenis Cespedes,2.10,95
OF,Khris Davis,3.65,67.8
OF,Ian Desmond,0.99,117.9
OF,Carlos Gonzalez,-0.67,278.5
UTIL,Adrian Beltre,0.58,157.2
P,Stephen Strasburg,6.193,25.2
P,Chris Archer,6.377,54.3
P,Gerrit Cole,1.944,76.8
P,Jose Quintana,5.091,67.6
P,Felipe Rivero,8.107,86.2
P,Sonny Gray,0.817,139.6
P,Jon Gray,1.531,162.4
P,Blake Treinen,2.404,170.7
P,Kelvin Herrera,3.031,192
P,Alex Claudio,0.427,296.1
P,Bryan Shaw,1.557,602.1
P,Chris Rusin,-0.150,648.1
Bench,Michael Conforto,2.78,192
Bench,Mike Zunino,1.20,156.5
Bench,Ian Happ,1.70,119.5
Bench,Chris Davis,1.76,251.8
Bench,Avisail Garcia,0.76,197.7
Propose Trade,,5.784,294.9
,,5.784,294.9
AMERICA NEEDS ANOTHER... (0-0),,5.784,294.9
['SLOT', 'PLAYER', 'TEAM', 'POS\tACQ', '']
C,Gary Sanchez,1.59,19.1
1B,Matt Carpenter,0.86,187
2B,DJ LeMahieu,-1.54,137.1
3B,Nicholas Castellanos,1.62,94.8
SS,Trea Turner,4.58,4.5
2B/SS,Paul DeJong,1.95,151.7
1B/3B,Justin Bour,-0.24,201.4
OF,Marcell Ozuna,0.68,47.2
OF,Tommy Pham,2.85,57.7
OF,Nomar Mazara,0.66,152.9
OF,Billy Hamilton,1.80,71.3
OF,Stephen Piscotty,0.43,286.4
UTIL,Jonathan Lucroy,-2.53,203.9
P,Corey Kluber,8.099,13.4
P,Craig Kimbrel,13.590,45.2
P,Corey Knebel,10.017,67.3
P,Raisel Iglesias,5.600,97.7
P,Dellin Betances,8.254,280.8
